word,tf_idf,Avoiding_IN
feel,0.04471763159204994,Schizoid
reason,0.04364985671855532,Schizoid
turn,0.043261892466630494,Schizoid
watch,0.04232810450301009,Schizoid
suppose,0.04208730519756228,Schizoid
hear,0.041384216641589526,Schizoid
stop,0.0413268843310774,Schizoid
able,0.0400576795355496,Schizoid
different,0.03897428579462678,Schizoid
help,0.038481098396047714,Schizoid
great,0.03843253738320415,Schizoid
go,0.03824896789614779,Schizoid
nice,0.038001461830526814,Schizoid
new,0.03569990876056542,Schizoid
wait,0.035493794526196686,Schizoid
take,0.03411535942922902,Schizoid
assignment,0.033014721505683305,Schizoid
little,0.032420509111841765,Schizoid
say,0.032317715844133815,Schizoid
today,0.031225220670567575,Schizoid
start,0.02928347991909585,Schizoid
write,0.028690680637451445,Schizoid
talk,0.028690680637451445,Schizoid
minute,0.0276143661642675,Schizoid
day,0.02640469292886633,Schizoid
school,0.025829902808628263,Schizoid
class,0.023891882392356692,Schizoid
people,0.023619917938149104,Schizoid
time,0.01971190032011381,Schizoid
rate,0.2925323620262161,Neuroticism
town,0.2898826691828677,Neuroticism
miss,0.26090040420601096,Neuroticism
friend,0.2099567965695534,Neuroticism
people,0.19085163728214624,Neuroticism
new,0.17606541571342874,Neuroticism
sure,0.17506419948214913,Neuroticism
go,0.158471003909959,Neuroticism
break,0.15563152490603033,Neuroticism
feel,0.15011144072793048,Neuroticism
realize,0.14639075669874826,Neuroticism
rambling,0.13850858049804463,Neuroticism
mom,0.1374839277845457,Neuroticism
call,0.13691190246787727,Neuroticism
stay,0.13504590184520526,Neuroticism
surround,0.13153050194298302,Neuroticism
happen,0.1291261008848298,Neuroticism
different,0.1266993469396408,Neuroticism
regret,0.12667275174461204,Neuroticism
assume,0.12189341308955678,Neuroticism
guy,0.11631273005133021,Neuroticism
get,0.11549136357411995,Neuroticism
list,0.11283452402715789,Neuroticism
leave,0.10902775589281638,Neuroticism
child,0.10598496607194811,Neuroticism
certain,0.10107077523604475,Neuroticism
comfortable,0.09989279882316743,Neuroticism
tell,0.09906888582847295,Neuroticism
typing,0.09848617315233735,Neuroticism
consider,0.09537102316409127,Neuroticism
future,0.09393339082752593,Neuroticism
visit,0.09324109475866185,Neuroticism
consciousness,0.09278880761787016,Neuroticism
date,0.09001317991046387,Neuroticism
movie,0.08804938050243466,Neuroticism
bother,0.08693341940194466,Neuroticism
begin,0.08621319335230893,Neuroticism
stream,0.08585984696090068,Neuroticism
bed,0.08448904052600141,Neuroticism
couple,0.08399165508508258,Neuroticism
decide,0.08177967337605932,Neuroticism
come,0.0805203294759794,Neuroticism
class,0.07996333298547227,Neuroticism
hang,0.0791685250297282,Neuroticism
experience,0.07834912437525945,Neuroticism
spend,0.07590076334205956,Neuroticism
close,0.07516967061083152,Neuroticism
hurt,0.07297191992687538,Neuroticism
learn,0.07253023370248005,Neuroticism
feeling,0.07231195197503096,Neuroticism
happy,0.07135002139138208,Neuroticism
reason,0.0706238478697099,Neuroticism
thing,0.07036463983375256,Neuroticism
good,0.07007307298595657,Neuroticism
sound,0.0700159245849462,Neuroticism
writing,0.06971679646830022,Neuroticism
old,0.06779963185818702,Neuroticism
parent,0.06715820594914564,Neuroticism
watch,0.06635434107041263,Neuroticism
easy,0.06617876694546371,Neuroticism
home,0.06548717665149549,Neuroticism
sleep,0.06540190556650197,Neuroticism
hear,0.0645630504424149,Neuroticism
roommate,0.06358821786638752,Neuroticism
help,0.06151049854427284,Neuroticism
meet,0.06070594028617536,Neuroticism
weekend,0.059026198063252135,Neuroticism
week,0.058156365025665104,Neuroticism
room,0.056931362577587116,Neuroticism
night,0.056617626357652225,Neuroticism
mean,0.05655529481477799,Neuroticism
fun,0.05457186226056516,Neuroticism
assignment,0.05382718806734328,Neuroticism
college,0.052073612379216136,Neuroticism
today,0.05139117354809362,Neuroticism
little,0.05027253558416906,Neuroticism
year,0.049196486023298805,Neuroticism
talk,0.04585107968698938,Neuroticism
guess,0.045427907963091284,Neuroticism
way,0.04501097793804753,Neuroticism
write,0.044887088726267566,Neuroticism
lot,0.0443160118641527,Neuroticism
day,0.043756244201324374,Neuroticism
like,0.042441246951858136,Neuroticism
want,0.03535825830584467,Neuroticism
time,0.031823689525328804,Neuroticism
think,0.030679106315673027,Neuroticism
