word,tf_idf,classification
feel,0.0339468578595436,Neuroticism
easy,0.03384254046015672,Neuroticism
thing,0.03335623029845589,Neuroticism
writing,0.033295417486377106,Neuroticism
good,0.03310707809667828,Neuroticism
turn,0.03286398431675091,Neuroticism
feeling,0.03263023195459195,Neuroticism
walk,0.03235506465789494,Neuroticism
call,0.03139234738454782,Neuroticism
cool,0.031308198432806376,Neuroticism
family,0.03085469363125747,Neuroticism
happy,0.03049485029529979,Neuroticism
old,0.030416194780309557,Neuroticism
happen,0.029580459111506856,Neuroticism
help,0.029217329125718096,Neuroticism
have,0.028863883769790974,Neuroticism
meet,0.02851961985889741,Neuroticism
new,0.027072356283730746,Neuroticism
guy,0.026360592492394776,Neuroticism
leave,0.02585078289461782,Neuroticism
love,0.022700287454254998,Neuroticism
look,0.02220577988395008,Neuroticism
hope,0.02172906148110944,Neuroticism
talk,0.021627657655321608,Neuroticism
school,0.020320465299133644,Neuroticism
work,0.02026566129805508,Neuroticism
friend,0.018670243481300017,Neuroticism
want,0.01594764005230419,Neuroticism
